cmp_segid,cmp_name,cmp_from,cmp_to,direction,length,cls_hcm85,year,period,auto_speed,los_hcm85,transit_speed,transit_sd,transit_cv,atspd_ratio
154,Market/Portola,Castro,Guerrero,E,0.793811305289,3,2017,AM,12.8,D,6.5,1.134097205,17.44764930769230769200,1.9692307692307692
182,North Point,Embarcadero,Columbus,W,0.613771483517,3,1993,PM,16.9,C,,,,
200,Potrero,Cesar Chavez,21st,N,0.605891596600,3,2017,PM,12.9,D,7.1,1.615003187,22.74652376056338028200,1.8169014084507042
213,Sutter,Gough,Divisadero,W,0.822182703122,3,2009,PM,14.8734658092,C,7.86392137164,,,1.8913548478293315
72,Clay,Kearny,Davis,E,0.378528736482,3,2007,AM,14.2982674746,C,,,,
169,Mission/Otis,Cesar Chavez,14th,N,1.39150936015,3,1991,AM,10.9,D,,,,
180,North Point,Van Ness,Columbus,E,0.383452476840,3,2004,PM,11.0,D,,,,
211,Sutter,Market,Mason,W,0.564249764960,3,2006,PM,11.6,D,5.7,,,2.0350877192982456
74,Columbus,Greenwich,North Point,N,0.424419897198,3,1993,AM,22.6,B,,,,
63,Castro/Divisadero,Pine,Geary,S,0.265206469451,3,1995,PM,8.1,E,,,,
120,Geneva,Paris,Cayuga,W,0.328791999333,3,2013,AM,12.9,D,4.3,0.6,13.95348837209302325600,3.0000000000000000
140,Junipero Serra,Sloat,19th,S,1.21066503663,1,1993,AM,32.4,B,,,,
131,Harrison,Embarcadero,1st,W,0.342951254629,3,2007,AM,12.68,D,,,,
72,Clay,Kearny,Davis,E,0.378528736482,3,2019,AM,10.119979132519097,D,5.7338397838885085,1.0195119777566897,17.78061501860257723600,1.7649567330003155
161,Market/Portola,Burnett,Santa Clara,W,1.33877798333,3,2015,AM,18.5,C,11.2,2.3,20.53571428571428571400,1.6517857142857143
105,Fulton,Arguello,Masonic,E,0.659455079392,3,2019,PM,11.075561818309758,D,8.87673498406355,1.5988952258514453,18.01219962882693341400,1.2477067117801504
27,19th Ave/Park Presidio,US-101,Lake,S,1.25908915215,1,2007,PM,42.6700012196,A,,,,
